"","GSPC.Open","GSPC.High","GSPC.Low","GSPC.Close","GSPC.Volume","GSPC.Adjusted","date"
"2016-01-04",2038.199951,2038.199951,1989.680054,2012.660034,4304880000,2012.660034,2016-01-04
"2016-01-05",2013.780029,2021.939941,2004.170044,2016.709961,3706620000,2016.709961,2016-01-05
"2016-01-06",2011.709961,2011.709961,1979.050049,1990.26001,4336660000,1990.26001,2016-01-06
"2016-01-07",1985.319946,1985.319946,1938.829956,1943.089966,5076590000,1943.089966,2016-01-07
"2016-01-08",1945.969971,1960.400024,1918.459961,1922.030029,4664940000,1922.030029,2016-01-08
"2016-01-11",1926.119995,1935.650024,1901.099976,1923.670044,4607290000,1923.670044,2016-01-11
"2016-01-12",1927.829956,1947.380005,1914.349976,1938.680054,4887260000,1938.680054,2016-01-12
"2016-01-13",1940.339966,1950.329956,1886.410034,1890.280029,5087030000,1890.280029,2016-01-13
"2016-01-14",1891.680054,1934.469971,1878.930054,1921.839966,5241110000,1921.839966,2016-01-14
"2016-01-15",1916.680054,1916.680054,1857.829956,1880.329956,5468460000,1880.329956,2016-01-15
"2016-01-19",1888.660034,1901.439941,1864.599976,1881.329956,4928350000,1881.329956,2016-01-19
"2016-01-20",1876.180054,1876.180054,1812.290039,1859.329956,6416070000,1859.329956,2016-01-20
"2016-01-21",1861.459961,1889.849976,1848.97998,1868.98999,5078810000,1868.98999,2016-01-21
"2016-01-22",1877.400024,1908.849976,1877.400024,1906.900024,4901760000,1906.900024,2016-01-22
"2016-01-25",1906.280029,1906.280029,1875.969971,1877.079956,4401380000,1877.079956,2016-01-25
"2016-01-26",1878.790039,1906.72998,1878.790039,1903.630005,4357940000,1903.630005,2016-01-26
"2016-01-27",1902.52002,1916.98999,1872.699951,1882.949951,4754040000,1882.949951,2016-01-27
"2016-01-28",1885.219971,1902.959961,1873.650024,1893.359985,4693010000,1893.359985,2016-01-28
"2016-01-29",1894,1940.23999,1894,1940.23999,5497570000,1940.23999,2016-01-29
"2016-02-01",1936.939941,1947.199951,1920.300049,1939.380005,4322530000,1939.380005,2016-02-01
"2016-02-02",1935.26001,1935.26001,1897.290039,1903.030029,4463190000,1903.030029,2016-02-02
"2016-02-03",1907.069946,1918.01001,1872.22998,1912.530029,5172950000,1912.530029,2016-02-03
"2016-02-04",1911.670044,1927.349976,1900.52002,1915.449951,5193320000,1915.449951,2016-02-04
"2016-02-05",1913.069946,1913.069946,1872.650024,1880.050049,4929940000,1880.050049,2016-02-05
"2016-02-08",1873.25,1873.25,1828.459961,1853.439941,5636460000,1853.439941,2016-02-08
"2016-02-09",1848.459961,1868.25,1834.939941,1852.209961,5183220000,1852.209961,2016-02-09
"2016-02-10",1857.099976,1881.599976,1850.319946,1851.859985,4471170000,1851.859985,2016-02-10
"2016-02-11",1847,1847,1810.099976,1829.079956,5500800000,1829.079956,2016-02-11
"2016-02-12",1833.400024,1864.780029,1833.400024,1864.780029,4696920000,1864.780029,2016-02-12
"2016-02-16",1871.439941,1895.77002,1871.439941,1895.579956,4570670000,1895.579956,2016-02-16
"2016-02-17",1898.800049,1930.680054,1898.800049,1926.819946,5011540000,1926.819946,2016-02-17
"2016-02-18",1927.569946,1930,1915.089966,1917.829956,4436490000,1917.829956,2016-02-18
"2016-02-19",1916.73999,1918.780029,1902.170044,1917.780029,4142850000,1917.780029,2016-02-19
"2016-02-22",1924.439941,1946.699951,1924.439941,1945.5,4054710000,1945.5,2016-02-22
"2016-02-23",1942.380005,1942.380005,1919.439941,1921.27002,3890650000,1921.27002,2016-02-23
"2016-02-24",1917.560059,1932.079956,1891,1929.800049,4317250000,1929.800049,2016-02-24
